country_name,gdp_per_capita,electricity_access_pct,renewable_share_pct,energy_use_per_capita,urban_population_pct,country_code,log_gdp_per_capita,log_energy_use_per_capita,energy_pressure_index,infrastructure_score,readiness_score,readiness_label
Cyprus,29206.07672,100.0,12.05,26442.418,66.6824259192483,CYP,10.282166312318184,10.182762559438016,0.1118,83.3412,64.0,High
Czechia,31823.3078290564,100.0,15.85,45355.285,72.7947984592185,CZE,10.367985673905707,10.722304034694885,0.1835,86.3974,65.4,High
Denmark,59775.7351,100.0,37.52,33139.277,88.6960552688405,DNK,10.998371819090522,10.4085046494248,0.0995,94.348,78.17,High
Djibouti,3414.916178,61.21193,27.92,2848.7866,72.9052635052978,DJI,8.136201016551192,7.954999393266276,0.0099,67.0586,53.7,Low
Dominica,8516.280039,100.0,8.05,11049.87,73.5449839980866,DMA,9.049852324605242,9.31026443687829,0.0488,86.7725,59.16,Medium
Dominican Republic,8282.117131,99.0,13.98,11098.332,72.4121874752151,DOM,9.021974641630718,9.314640205309344,0.0459,85.7061,60.26,Medium
Ecuador,6222.524653,99.09,17.73,12160.402,63.2376932397602,ECU,8.736091689708996,9.40602244492671,0.0481,81.1638,58.25,Medium
Egypt,6837.717826,100.0,5.3,9919.544,62.8876899795928,,8.830355540706028,9.202363037485007,0.0452,81.4438,55.58,Medium
El Salvador,4167.730939,97.36,19.39,7271.5205,75.0674905102199,SLV,8.335366937299657,8.891858209203473,0.0282,86.2137,58.82,Medium
Equatorial Guinea,8419.933336,66.600044,6.58,17644.693,71.3574028749806,GNQ,9.03847594859918,9.77824700992018,0.0792,68.9787,52.05,Low
Eritrea,688.68165957684,50.936993,73.67,936.4785,34.5365524291992,ERI,6.536230128198565,6.843193824248259,0.0012,42.7368,49.68,Low
Estonia,23397.12001,100.0,31.29,47295.336,70.6981161541961,EST,10.060410956665256,10.764188108477496,0.1562,85.3491,68.03,High
Eswatini,3915.643467,76.86944,65.95,5780.252,26.2498461258639,SWZ,8.272990307567504,8.662375547206622,0.0095,51.5596,58.96,Medium
Ethiopia,855.7608852,48.06359,88.92,921.99115,23.6222839355469,ETH,6.753158865897235,6.827619646157859,0.0005,35.8429,52.34,Low
Fiji,6175.890653,99.71588,26.48,9417.632,59.0766602292457,FJI,8.728570293256551,9.150445134094602,0.0333,79.3963,60.12,Medium
Finland,48628.64176,100.0,45.76,59219.418,74.2637190463636,FIN,10.791988536724594,10.98902166005688,0.1544,87.1319,76.0,High
France,40578.64429,100.0,15.53,42326.785,78.7999750964116,FRA,10.611021847693284,10.653199005190988,0.1719,89.4,67.71,High
Gabon,7766.996554,90.726295,89.88,7427.6616,91.8632094677575,GAB,8.957767566356232,8.913100986896119,0.0036,91.2948,82.5,High
Gambia,6837.717826,62.1,49.24,972.6679,62.8876899795928,,8.830355540706028,6.881070280408319,0.0024,62.4938,61.16,Medium
Georgia,4697.983652,100.0,25.22,19659.346,61.0789605093733,GEO,8.45510152005867,9.88635899273246,0.0707,80.5395,58.31,Medium
Germany,46794.89929,100.0,17.17,44467.746,82.0211432579125,DEU,10.753550856058158,10.70254188432145,0.1771,91.0106,69.31,High
Ghana,2246.625578,83.5,41.8,3135.595,58.3654868038581,GHA,7.717629639312104,8.050893095616289,0.0088,70.9327,56.7,Medium
Greece,19133.75776,100.0,18.51,29966.309,78.9967856500534,GRC,9.859261738255238,10.307862366489577,0.1174,89.4984,65.73,High
Grenada,10827.43529,93.120964,10.37,10655.754,36.5628000454229,GRD,9.289930850332532,9.27394914853518,0.0459,64.8419,53.32,Low
Guatemala,4638.634943,95.742004,62.92,5851.735,55.9547027274763,GTM,8.44239096604759,8.67466435233936,0.0104,75.8484,67.44,High
Guinea,1058.143368,42.2,65.44,1201.7898,38.0713036688655,GIN,6.965215716985973,7.09239897086558,0.002,40.1357,48.66,Low
Guinea-Bissau,749.453747,30.961557,86.24,703.1273,46.113204421822,GNB,6.620678019594056,6.556959163675015,0.0005,38.5374,51.93,Low
Guyana,6609.51128,91.91576,11.35,14184.612,26.477717988557,GUY,8.796416279324916,9.559983490478642,0.0604,59.1967,49.01,Low
Haiti,1312.770636,45.990234,76.4,1184.3462,55.0372652481002,HTI,7.180656629774742,7.07779016279991,0.0013,50.5137,56.21,Medium
Honduras,2556.456891,91.1,45.96,5640.568,58.7850728104829,HND,7.84676864176974,8.637917320037719,0.0147,74.9425,59.73,Medium
Hungary,16735.65978,100.0,13.64,28131.205,70.491825943218,HUN,9.72535678888874,10.244670284476577,0.1168,85.2459,62.33,High
Iceland,68941.46223,100.0,81.07,175527.73,94.1819039916522,ISL,11.141027554982823,12.075558012193772,0.1597,97.091,90.37,High
India,2100.751461,97.308266,32.93,6731.805,35.3788972368389,IND,7.650526305150171,8.814747126296085,0.0217,66.3436,52.25,Low
Indonesia,4135.201531,98.85,19.09,8474.4795,58.7509635387997,IDN,8.327533141065018,9.044932508819258,0.033,78.8005,56.04,Medium
Iraq,5980.626918,99.992004,0.43,15430.376,69.8861494108913,IRQ,8.696447869809324,9.644158118309242,0.0739,84.9391,54.44,Medium
Ireland,80886.61574,100.0,12.34,38270.875,64.3470379255585,IRL,11.300816010240714,10.552470571209652,0.1613,82.1735,67.82,High
Israel,43951.24773,100.0,4.47,35085.457,91.536188843818,ISR,10.690859044695218,10.465570494542536,0.1611,95.7681,67.57,High
Italy,33641.63375,100.0,17.27,30464.062,69.6047535143071,ITA,10.423549403233862,10.324335797802796,0.1212,84.8024,66.42,High
Jamaica,5369.498371,99.36762,9.09,15387.241,58.9301585439922,JAM,8.588675989714343,9.641358925304004,0.0672,79.1489,54.28,Low
Japan,40777.6087,100.0,7.69,40868.688,92.1901718034531,JPN,10.61591292633212,10.618143942567844,0.1814,96.0951,67.86,High
Jordan,4405.487109,100.0,8.17,11258.242,92.9501393764286,JOR,8.390833077084398,9.328944581488118,0.0497,96.4751,59.39,Medium
Kazakhstan,9812.595808,100.0,1.7,43404.29,62.072531584162,KAZ,9.191524030556144,10.678336602061508,0.2051,81.0363,53.82,Low
Kenya,1912.647867,69.7,68.08,1946.3412,31.8937831721599,KEN,7.556766577552997,7.574220233983844,0.003,50.7969,55.9,Medium
Kiribati,1601.861869,90.03285,41.03,2592.4326,62.4620431275642,KIR,7.379545978591002,7.860737605406719,0.0073,76.2474,56.75,Medium
Kuwait,32373.25112,100.0,0.06,94612.555,100.0,KWT,10.385118667305733,11.45755603230172,0.4545,100.0,62.01,High
Kyrgyzstan,6837.717826,99.87424,27.88,10582.124,62.8876899795928,,8.830355540706028,9.267015935929551,0.0367,81.381,61.62,High
Latvia,17926.84159,100.0,41.52,23394.7,68.4839492628509,LVA,9.794110179542574,10.060307523775968,0.0658,84.242,70.41,High
Lebanon,7578.172368,99.97487,5.46,18447.385,90.703695784554,LBN,8.933159286395478,9.82273211176202,0.0838,95.3393,60.38,Medium
Lesotho,1113.37214,44.50021,39.47,2188.859,43.6780334209246,LSO,7.0160464221530905,7.691592437176192,0.0064,44.0891,43.38,Low
Liberia,672.3404992,23.1,87.24,1100.8312,55.5387986654968,LBR,6.512251144046749,7.004728801936654,0.0007,39.3194,51.95,Low
Libya,7685.948132,68.6424,2.8,32421.873,87.8854066107749,LBY,8.947279121830595,10.386619409500264,0.1515,78.2639,52.78,Low
Lithuania,19575.76848,100.0,33.53,24873.117,68.8285833315315,LTU,9.882098860584122,10.121583063909306,0.0795,84.4143,68.58,High
Luxembourg,113218.7133,100.0,16.45,76273.7,94.8438702866393,LUX,11.637085575349325,11.24209657644046,0.3063,97.4219,73.67,High
Madagascar,522.9895243,31.04,82.77,678.70404,32.4339893339844,MDG,6.26147169232731,6.521657468133663,0.0006,31.737,46.92,Low
Malawi,591.8463896,11.2,73.02,537.8198,17.268503531213,MWI,6.384935325980838,6.289381192190627,0.0007,14.2343,38.84,Low
Malaysia,11432.823,100.0,5.11,37823.5,76.9170296648992,MYS,9.344331171557169,10.540712319798534,0.1725,88.4585,58.54,Medium
Maldives,10561.61351,100.0,1.11,18567.896,41.9982152717385,MDV,9.26507601811656,9.829243201852508,0.0883,70.9991,52.27,Low
Mali,879.0431873,47.836277,76.64,1231.7151,31.6075621182225,MLI,6.779970982745314,7.116974414015993,0.0014,39.7219,50.58,Low
Malta,30186.19596,100.0,7.7,80081.51,95.6546264490509,MLT,10.315173138625784,11.290812757154244,0.3553,97.8273,64.41,High
Mauritania,1743.302901,45.830032,24.7,4149.229,60.6068586411829,MRT,7.464110271154048,8.330918792425235,0.015,53.2184,44.71,Low
Mauritius,11097.16898,100.0,8.94,22800.158,39.0162147027917,MUS,9.314535416936806,10.034566603126477,0.0998,69.5081,53.88,Low
Mexico,9950.45008,99.6,10.34,17903.295,79.7538805976118,MEX,9.205473556217497,9.792795907180937,0.0772,89.6769,61.1,Medium
Mongolia,4404.84583,97.22991,3.32,24279.39,70.9566040039062,MNG,8.39068753582862,10.097424307647398,0.1128,84.0933,52.85,Low
Montenegro,8910.650834,100.0,38.74,20460.55,65.5422314706266,MNE,9.09511478209074,9.926302794211916,0.0603,82.7711,65.88,High
Morocco,3235.00066,99.6,10.69,7267.464,62.7998124018197,MAR,8.082093482133862,8.891300268975254,0.0312,81.1999,53.52,Low
Mozambique,506.6416391,29.67445,78.08,2446.9106,36.4332337447237,MOZ,6.229775763799725,7.8029901233575165,0.0026,33.0538,45.96,Low
Myanmar,1271.111575,68.35853,57.85,3197.22,30.4499084074136,MMR,7.148433456248196,8.070349684023393,0.0065,49.4042,50.71,Low
Namibia,5009.685904,55.17709,30.69,9254.443,50.4088030252155,NAM,8.519328091694032,9.132967089880426,0.0308,52.7929,50.98,Low
Nauru,11029.73558,100.0,0.61,22405.49,100.0,NRU,9.308440799053852,10.017105928021737,0.1071,100.0,62.19,High
Nepal,1194.956876,89.9,77.39,1700.5831,66.772343163029,NPL,7.086701877004326,7.439314332007839,0.0018,78.3362,65.72,High
Netherlands,52476.27325,100.0,8.54,58836.934,95.6396517079336,NLD,10.868135464379392,10.982542061930337,0.2587,97.8198,68.74,High
New Caledonia,34788.52928,100.0,5.4,79064.88,67.9514695585577,NCL,10.457071737729644,11.27803670797832,0.3596,83.9757,59.59,Medium
New Zealand,42755.21626,100.0,29.65,53259.336,83.9370658833132,NZL,10.6632698733846,10.88294716802245,0.1801,91.9685,72.45,High
Nicaragua,1926.699694,88.05833,50.71,4225.4365,59.2628402709961,NIC,7.56408270266514,8.349114482004373,0.01,73.6606,59.24,Medium
Niger,554.0993893,18.974571,80.83,468.4848,18.0497398450803,NER,6.319147177533377,6.151635923257361,0.0004,18.5122,42.07,Low
Nigeria,2229.858652,55.4,81.4,2482.8318,62.9755675573659,NGA,7.710141836082987,7.817557727395177,0.0022,59.1878,63.08,High
North Macedonia,6070.388054,100.0,16.32,14689.626,62.5645376928533,MKD,8.711342532376104,9.594964882283117,0.0591,81.2823,57.64,Medium
Norway,75719.7529,100.0,62.37,96392.5,83.3293737928469,NOR,11.23480754848566,11.476194050939416,0.1744,91.6647,83.78,High
